"source","target"
"tod, d.","brown, h."
"tod, d.","renshaw, sir c.b."
"tod, d.","cox, e."
"tod, d.","houldsworth, j.h."
"tod, d.","lord newlands"
"tod, d.","allan, h."
"tod, d.","vernon, g.r."
"tod, d.","younger, w."
"tod, d.","knox, sir j."
"tod, d.","gordon, h.e."
"marquess of breadalbane","brown, h."
"marquess of breadalbane","renshaw, sir c.b."
"marquess of breadalbane","cox, e."
"marquess of breadalbane","houldsworth, j.h."
"marquess of breadalbane","lord newlands"
"marquess of breadalbane","allan, h."
"marquess of breadalbane","vernon, g.r."
"marquess of breadalbane","younger, w."
"marquess of breadalbane","wilson, r.m."
"marquess of breadalbane","fothringham, w.s."
"marquess of breadalbane","stewart, j.g."
"marquess of breadalbane","duke of sutherland"
"marquess of breadalbane","dalgleish, sir w.o."
"marquess of breadalbane","jordan, j."
"marquess of breadalbane","strain, j."
"marquess of breadalbane","buchanan, j.h."
"marquess of breadalbane","marquess of tweedale"
"marquess of breadalbane","macrae, sir c.g."
"marquess of breadalbane","rankine, j."
"marquess of breadalbane","mounsey, j.l."
"marquess of breadalbane","mylne, j."
"marquess of breadalbane","barclay, g."
"marquess of breadalbane","guthrie, sir j."
"brown, h.","renshaw, sir c.b."
"brown, h.","cox, e."
"brown, h.","houldsworth, j.h."
"brown, h.","lord newlands"
"brown, h.","allan, h."
"brown, h.","vernon, g.r."
"brown, h.","younger, w."
"brown, h.","donaldson, w.a."
"brown, h.","denny, j.m."
"brown, h.","tennant, sir c."
"brown, h.","alexander, t."
"brown, h.","couper, j."
"brown, h.","anstruther, sir r.w."
"brown, h.","arthur, sir m."
"brown, h.","mason, t."
"brown, h.","bell, sir j."
"brown, h.","stewart, r.k."
"brown, h.","sanderson, w."
"renshaw, sir c.b.","cox, e."
"renshaw, sir c.b.","houldsworth, j.h."
"renshaw, sir c.b.","lord newlands"
"renshaw, sir c.b.","allan, h."
"renshaw, sir c.b.","vernon, g.r."
"renshaw, sir c.b.","younger, w."
"cox, e.","houldsworth, j.h."
"cox, e.","lord newlands"
"cox, e.","allan, h."
"cox, e.","vernon, g.r."
"cox, e.","younger, w."
"cox, e.","dalgleish, sir w.o."
"cox, e.","don, r.b."
"houldsworth, j.h.","lord newlands"
"houldsworth, j.h.","allan, h."
"houldsworth, j.h.","vernon, g.r."
"houldsworth, j.h.","younger, w."
"lord newlands","allan, h."
"lord newlands","vernon, g.r."
"lord newlands","younger, w."
"allan, h.","vernon, g.r."
"allan, h.","younger, w."
"allan, h.","bell, sir j."
"allan, h.","stewart, r.k."
"allan, h.","sanderson, w."
"vernon, g.r.","younger, w."
"vernon, g.r.","knox, sir j."
"vernon, g.r.","gordon, h.e."
"younger, w.","anstruther, sir r.w."
"younger, w.","davidson, j.h."
"younger, w.","marquess of linlithgow"
"younger, w.","duke of buccleuch and queensberry"
"younger, w.","pitman, a.r.c."
"younger, w.","whigham, c.f."
"younger, w.","ivory, j."
"bell, sir j.","arthur, sir m."
"bell, sir j.","earl of glasgow"
"bell, sir j.","lorimer, w."
"bell, sir j.","maxwell, sir h.e."
"bell, sir j.","stewart, r.k."
"bell, sir j.","sanderson, w."
"bell, sir j.","smith, j.p."
"bell, sir j.","ker, c."
"bell, sir j.","ritchie, d."
"arthur, sir m.","earl of glasgow"
"arthur, sir m.","lorimer, w."
"arthur, sir m.","maxwell, sir h.e."
"arthur, sir m.","mason, t."
"earl of glasgow","lorimer, w."
"earl of glasgow","maxwell, sir h.e."
"earl of glasgow","thomson, s."
"earl of glasgow","blyth, r."
"earl of glasgow","findlay, r.e."
"lorimer, w.","maxwell, sir h.e."
"lorimer, w.","tennant, sir c."
"lorimer, w.","alexander, t."
"lorimer, w.","couper, j."
"maxwell, sir h.e.","clark, s."
"maxwell, sir h.e.","mure, w.j."
"maxwell, sir h.e.","jamieson, j.a."
"maxwell, sir h.e.","marquess of tweedale"
"maxwell, sir h.e.","carmichael, sir t.d.g."
"maxwell, sir h.e.","cook, sir h."
"maxwell, sir h.e.","balfour, c.b."
"maxwell, sir h.e.","cowan, d."
"maxwell, sir h.e.","davidson, e.a."
"glen-coats, sir t.","arrol, sir w."
"glen-coats, sir t.","clark, s."
"glen-coats, sir t.","knox, sir j."
"arrol, sir w.","clark, s."
"arrol, sir w.","wilson, r.m."
"arrol, sir w.","stewart, j.g."
"clark, s.","mure, w.j."
"clark, s.","jamieson, j.a."
"clark, s.","marquess of tweedale"
"clark, s.","carmichael, sir t.d.g."
"clark, s.","cook, sir h."
"clark, s.","balfour, c.b."
"clark, s.","cowan, d."
"clark, s.","davidson, e.a."
"adam, t.","crombie, t."
"wilson, r.m.","fothringham, w.s."
"wilson, r.m.","stewart, j.g."
"wilson, r.m.","duke of sutherland"
"wilson, r.m.","dalgleish, sir w.o."
"fothringham, w.s.","stewart, j.g."
"fothringham, w.s.","duke of sutherland"
"fothringham, w.s.","dalgleish, sir w.o."
"fothringham, w.s.","moncrieffe, sir r.d."
"stewart, j.g.","duke of sutherland"
"stewart, j.g.","dalgleish, sir w.o."
"duke of sutherland","dalgleish, sir w.o."
"duke of sutherland","younger, g."
"duke of sutherland","earl of elgin and kincardine"
"duke of sutherland","dundas, ralph"
"duke of sutherland","maconochie, c.c."
"duke of sutherland","dundas, robert"
"dalgleish, sir w.o.","don, r.b."
"lord balfour of burleigh","anstruther, sir r.w."
"lord balfour of burleigh","marquess of linlithgow"
"lord balfour of burleigh","mure, w.j."
"lord balfour of burleigh","trotter, j.m."
"lord balfour of burleigh","jamieson, j.a."
"lord balfour of burleigh","dunlop, g."
"muir, sir a.k.","moncrieffe, sir r.d."
"muir, sir a.k.","muir, j.f."
"muir, sir a.k.","tullis, j.t."
"muir, sir a.k.","brown, a.m."
"muir, sir a.k.","scott, r."
"muir, sir a.k.","hannay, d.m."
"muir, sir a.k.","sinclair, r.m."
"moncrieffe, sir r.d.","muir, j.f."
"moncrieffe, sir r.d.","tullis, j.t."
"moncrieffe, sir r.d.","brown, a.m."
"moncrieffe, sir r.d.","scott, r."
"moncrieffe, sir r.d.","hannay, d.m."
"moncrieffe, sir r.d.","sinclair, r.m."
"muir, j.f.","tullis, j.t."
"muir, j.f.","brown, a.m."
"muir, j.f.","scott, r."
"muir, j.f.","hannay, d.m."
"muir, j.f.","sinclair, r.m."
"tullis, j.t.","brown, a.m."
"tullis, j.t.","scott, r."
"tullis, j.t.","hannay, d.m."
"tullis, j.t.","sinclair, r.m."
"tullis, j.t.","mungall, h."
"tullis, j.t.","richmond, sir d."
"brown, a.m.","scott, r."
"brown, a.m.","hannay, d.m."
"brown, a.m.","sinclair, r.m."
"scott, r.","hannay, d.m."
"scott, r.","sinclair, r.m."
"hannay, d.m.","sinclair, r.m."
"hannay, d.m.","gow, l."
"knox, sir j.","gordon, h.e."
"gow, l.","innes, j."
"innes, j.","denny, j.m."
"innes, j.","aitken, t."
"mungall, h.","richmond, sir d."
"mungall, h.","aitken, t."
"mungall, h.","jordan, j."
"mcnab, a.","harvey, j.b."
"donaldson, w.a.","denny, j.m."
"donaldson, w.a.","mclaren, w.s.b."
"denny, j.m.","aitken, t."
"smith, j.p.","tennant, sir c."
"smith, j.p.","gordon, h.e."
"smith, j.p.","grant, sir l.j."
"smith, j.p.","pitman, a.r.c."
"smith, j.p.","ritchie, d."
"smith, j.p.","tait, j.s."
"smith, j.p.","thomson, s."
"smith, j.p.","blyth, r."
"smith, j.p.","findlay, r.e."
"smith, j.p.","ker, c."
"tennant, sir c.","alexander, t."
"tennant, sir c.","couper, j."
"tennant, sir c.","anstruther, sir r.w."
"tennant, sir c.","gordon, h.e."
"tennant, sir c.","grant, sir l.j."
"tennant, sir c.","pitman, a.r.c."
"tennant, sir c.","ritchie, d."
"tennant, sir c.","tait, j.s."
"tennant, sir c.","thomson, s."
"tennant, sir c.","blyth, r."
"tennant, sir c.","findlay, r.e."
"alexander, t.","couper, j."
"alexander, t.","anstruther, sir r.w."
"aitken, t.","jordan, j."
"aitken, t.","watt, a."
"aitken, t.","campbell, j."
"jordan, j.","buchanan, j.h."
"jordan, j.","cowan, john"
"jordan, j.","sanderson, a."
"jordan, j.","blair, w."
"jordan, j.","strain, j."
"jordan, j.","marquess of tweedale"
"jordan, j.","macrae, sir c.g."
"jordan, j.","rankine, j."
"jordan, j.","mounsey, j.l."
"anstruther, sir r.w.","marquess of linlithgow"
"anstruther, sir r.w.","mure, w.j."
"anstruther, sir r.w.","trotter, j.m."
"anstruther, sir r.w.","jamieson, j.a."
"anstruther, sir r.w.","dunlop, g."
"anstruther, sir r.w.","davidson, j.h."
"anstruther, sir r.w.","duke of buccleuch and queensberry"
"anstruther, sir r.w.","pitman, a.r.c."
"anstruther, sir r.w.","whigham, c.f."
"anstruther, sir r.w.","ivory, j."
"younger, g.","earl of mansfield"
"younger, g.","mylne, j."
"younger, g.","cowan, john"
"younger, g.","blair, p."
"younger, g.","ker, c."
"younger, g.","davidson, w.s."
"younger, g.","black, a.d.m."
"younger, g.","fraser, w.s."
"younger, g.","earl of elgin and kincardine"
"younger, g.","dundas, ralph"
"younger, g.","maconochie, c.c."
"younger, g.","dundas, robert"
"russell, d.","hood, j.a."
"russell, d.","r�ffer, h."
"russell, d.","mclaren, w.s.b."
"hood, j.a.","r�ffer, h."
"hood, j.a.","mclaren, w.s.b."
"hood, j.a.","stewart, r.k."
"r�ffer, h.","mclaren, w.s.b."
"gordon, h.e.","grant, sir l.j."
"gordon, h.e.","pitman, a.r.c."
"gordon, h.e.","ritchie, d."
"gordon, h.e.","tait, j.s."
"gordon, h.e.","thomson, s."
"gordon, h.e.","blyth, r."
"gordon, h.e.","findlay, r.e."
"mason, t.","davidson, w.s."
"mason, t.","black, a.d.m."
"strain, j.","watt, a."
"strain, j.","buchanan, j.h."
"strain, j.","marquess of tweedale"
"strain, j.","macrae, sir c.g."
"strain, j.","rankine, j."
"strain, j.","mounsey, j.l."
"watt, a.","campbell, j."
"davidson, j.h.","marquess of linlithgow"
"davidson, j.h.","duke of buccleuch and queensberry"
"davidson, j.h.","pitman, a.r.c."
"davidson, j.h.","whigham, c.f."
"davidson, j.h.","ivory, j."
"stewart, r.k.","sanderson, w."
"buchanan, j.h.","cowan, john"
"buchanan, j.h.","marquess of tweedale"
"buchanan, j.h.","macrae, sir c.g."
"buchanan, j.h.","rankine, j."
"buchanan, j.h.","mounsey, j.l."
"sanderson, a.","blair, w."
"sanderson, a.","balfour, c.b."
"sanderson, a.","dundas, robert"
"sanderson, a.","cowan, j.j."
"blair, w.","macrae, sir c.g."
"blair, w.","sanderson, w."
"blair, w.","stewart, r."
"marquess of linlithgow","mure, w.j."
"marquess of linlithgow","trotter, j.m."
"marquess of linlithgow","jamieson, j.a."
"marquess of linlithgow","dunlop, g."
"marquess of linlithgow","duke of buccleuch and queensberry"
"marquess of linlithgow","pitman, a.r.c."
"marquess of linlithgow","whigham, c.f."
"marquess of linlithgow","ivory, j."
"mure, w.j.","trotter, j.m."
"mure, w.j.","jamieson, j.a."
"mure, w.j.","dunlop, g."
"mure, w.j.","marquess of tweedale"
"mure, w.j.","carmichael, sir t.d.g."
"mure, w.j.","cook, sir h."
"mure, w.j.","balfour, c.b."
"mure, w.j.","cowan, d."
"mure, w.j.","davidson, e.a."
"trotter, j.m.","jamieson, j.a."
"trotter, j.m.","dunlop, g."
"trotter, j.m.","grant, sir l.j."
"trotter, j.m.","cowan, j.j."
"trotter, j.m.","macdonald, j."
"trotter, j.m.","murray, p."
"jamieson, j.a.","dunlop, g."
"jamieson, j.a.","marquess of tweedale"
"jamieson, j.a.","carmichael, sir t.d.g."
"jamieson, j.a.","cook, sir h."
"jamieson, j.a.","balfour, c.b."
"jamieson, j.a.","cowan, d."
"jamieson, j.a.","davidson, e.a."
"dunlop, g.","cowan, john"
"dunlop, g.","wright, j.p."
"dunlop, g.","davidson, e.a."
"dunlop, g.","whitton, a."
"dunlop, g.","mackenzie, w."
"dunlop, g.","murray, p."
"dunlop, g.","campbell, j."
"earl of mansfield","mylne, j."
"earl of mansfield","cowan, john"
"earl of mansfield","blair, p."
"earl of mansfield","ker, c."
"earl of mansfield","davidson, w.s."
"earl of mansfield","black, a.d.m."
"earl of mansfield","fraser, w.s."
"earl of mansfield","duke of buccleuch and queensberry"
"earl of mansfield","pitman, j.c."
"earl of mansfield","peddie, j.m.d."
"mylne, j.","cowan, john"
"mylne, j.","blair, p."
"mylne, j.","ker, c."
"mylne, j.","davidson, w.s."
"mylne, j.","black, a.d.m."
"mylne, j.","fraser, w.s."
"mylne, j.","rankine, j."
"mylne, j.","barclay, g."
"mylne, j.","guthrie, sir j."
"mylne, j.","tait, j.s."
"mylne, j.","sanderson, w."
"mylne, j.","stewart, r."
"mylne, j.","smith, w.c."
"cowan, john","blair, p."
"cowan, john","ker, c."
"cowan, john","davidson, w.s."
"cowan, john","black, a.d.m."
"cowan, john","fraser, w.s."
"cowan, john","wright, j.p."
"blair, p.","ker, c."
"blair, p.","davidson, w.s."
"blair, p.","black, a.d.m."
"blair, p.","fraser, w.s."
"blair, p.","duke of buccleuch and queensberry"
"blair, p.","pitman, j.c."
"blair, p.","peddie, j.m.d."
"ker, c.","davidson, w.s."
"ker, c.","black, a.d.m."
"ker, c.","fraser, w.s."
"ker, c.","ritchie, d."
"davidson, w.s.","black, a.d.m."
"davidson, w.s.","fraser, w.s."
"davidson, w.s.","haldane, j."
"davidson, w.s.","barclay, g."
"davidson, w.s.","stewart, r."
"black, a.d.m.","fraser, w.s."
"marquess of tweedale","macrae, sir c.g."
"marquess of tweedale","rankine, j."
"marquess of tweedale","mounsey, j.l."
"marquess of tweedale","carmichael, sir t.d.g."
"marquess of tweedale","cook, sir h."
"marquess of tweedale","balfour, c.b."
"marquess of tweedale","cowan, d."
"marquess of tweedale","davidson, e.a."
"macrae, sir c.g.","rankine, j."
"macrae, sir c.g.","mounsey, j.l."
"macrae, sir c.g.","sanderson, w."
"macrae, sir c.g.","stewart, r."
"rankine, j.","mounsey, j.l."
"rankine, j.","barclay, g."
"rankine, j.","guthrie, sir j."
"mounsey, j.l.","johnston, w.c."
"mounsey, j.l.","murray, w.h."
"duke of buccleuch and queensberry","earl of elgin and kincardine"
"duke of buccleuch and queensberry","dundas, ralph"
"duke of buccleuch and queensberry","wright, j.p."
"duke of buccleuch and queensberry","carmichael, sir t.d.g."
"duke of buccleuch and queensberry","haldane, j."
"duke of buccleuch and queensberry","cook, sir h."
"duke of buccleuch and queensberry","maconochie, c.c."
"duke of buccleuch and queensberry","pitman, a.r.c."
"duke of buccleuch and queensberry","whigham, c.f."
"duke of buccleuch and queensberry","ivory, j."
"duke of buccleuch and queensberry","pitman, j.c."
"duke of buccleuch and queensberry","peddie, j.m.d."
"earl of elgin and kincardine","dundas, ralph"
"earl of elgin and kincardine","wright, j.p."
"earl of elgin and kincardine","carmichael, sir t.d.g."
"earl of elgin and kincardine","haldane, j."
"earl of elgin and kincardine","cook, sir h."
"earl of elgin and kincardine","maconochie, c.c."
"earl of elgin and kincardine","dundas, robert"
"dundas, ralph","wright, j.p."
"dundas, ralph","carmichael, sir t.d.g."
"dundas, ralph","haldane, j."
"dundas, ralph","cook, sir h."
"dundas, ralph","maconochie, c.c."
"dundas, ralph","dundas, robert"
"wright, j.p.","carmichael, sir t.d.g."
"wright, j.p.","haldane, j."
"wright, j.p.","cook, sir h."
"wright, j.p.","maconochie, c.c."
"carmichael, sir t.d.g.","haldane, j."
"carmichael, sir t.d.g.","cook, sir h."
"carmichael, sir t.d.g.","maconochie, c.c."
"carmichael, sir t.d.g.","balfour, c.b."
"carmichael, sir t.d.g.","cowan, d."
"carmichael, sir t.d.g.","davidson, e.a."
"carmichael, sir t.d.g.","pitman, a.r.c."
"carmichael, sir t.d.g.","tait, j.s."
"carmichael, sir t.d.g.","wallace, a."
"haldane, j.","cook, sir h."
"haldane, j.","maconochie, c.c."
"haldane, j.","barclay, g."
"haldane, j.","stewart, r."
"cook, sir h.","maconochie, c.c."
"cook, sir h.","balfour, c.b."
"cook, sir h.","cowan, d."
"cook, sir h.","davidson, e.a."
"maconochie, c.c.","dundas, robert"
"grant, sir l.j.","pitman, a.r.c."
"grant, sir l.j.","ritchie, d."
"grant, sir l.j.","tait, j.s."
"grant, sir l.j.","thomson, s."
"grant, sir l.j.","blyth, r."
"grant, sir l.j.","findlay, r.e."
"grant, sir l.j.","cowan, j.j."
"grant, sir l.j.","macdonald, j."
"grant, sir l.j.","murray, p."
"pitman, a.r.c.","ritchie, d."
"pitman, a.r.c.","tait, j.s."
"pitman, a.r.c.","thomson, s."
"pitman, a.r.c.","blyth, r."
"pitman, a.r.c.","findlay, r.e."
"pitman, a.r.c.","whigham, c.f."
"pitman, a.r.c.","ivory, j."
"pitman, a.r.c.","cowan, d."
"pitman, a.r.c.","wallace, a."
"ritchie, d.","tait, j.s."
"ritchie, d.","thomson, s."
"ritchie, d.","blyth, r."
"ritchie, d.","findlay, r.e."
"tait, j.s.","thomson, s."
"tait, j.s.","blyth, r."
"tait, j.s.","findlay, r.e."
"tait, j.s.","sanderson, w."
"tait, j.s.","stewart, r."
"tait, j.s.","smith, w.c."
"tait, j.s.","campbell, p.w."
"tait, j.s.","fraser, w.s."
"tait, j.s.","cowan, d."
"tait, j.s.","wallace, a."
"thomson, s.","blyth, r."
"thomson, s.","findlay, r.e."
"blyth, r.","findlay, r.e."
"balfour, c.b.","dundas, robert"
"balfour, c.b.","cowan, j.j."
"balfour, c.b.","cowan, d."
"balfour, c.b.","davidson, e.a."
"dundas, robert","cowan, j.j."
"cowan, j.j.","macdonald, j."
"cowan, j.j.","murray, p."
"sanderson, w.","stewart, r."
"sanderson, w.","smith, w.c."
"sanderson, w.","campbell, p.w."
"sanderson, w.","fraser, w.s."
"cowan, d.","davidson, e.a."
"cowan, d.","wallace, a."
"davidson, e.a.","whitton, a."
"davidson, e.a.","mackenzie, w."
"davidson, e.a.","macdonald, j."
"davidson, e.a.","peddie, j.m.d."
"davidson, e.a.","menzies, c.d."
"davidson, e.a.","torrie, r.j."
"macdonald, j.","murray, p."
"macdonald, j.","peddie, j.m.d."
"macdonald, j.","menzies, c.d."
"macdonald, j.","torrie, r.j."
"macdonald, j.","pitman, j.c."
"macdonald, j.","mackenzie, w."
"murray, p.","campbell, j."
"whigham, c.f.","ivory, j."
"ivory, j.","murray, w.h."
"ivory, j.","campbell, p.w."
"ivory, j.","maitland, t."
"ivory, j.","duncan, a.r."
"ivory, j.","menzies, c.d."
"johnston, w.c.","murray, w.h."
"murray, w.h.","campbell, p.w."
"murray, w.h.","maitland, t."
"murray, w.h.","duncan, a.r."
"murray, w.h.","menzies, c.d."
"pitman, j.c.","peddie, j.m.d."
"pitman, j.c.","mackenzie, w."
"pitman, j.c.","torrie, r.j."
"peddie, j.m.d.","menzies, c.d."
"peddie, j.m.d.","torrie, r.j."
"barclay, g.","guthrie, sir j."
"barclay, g.","stewart, r."
"guthrie, sir j.","maitland, t."
"guthrie, sir j.","whitton, a."
"stewart, r.","smith, w.c."
"campbell, p.w.","maitland, t."
"campbell, p.w.","duncan, a.r."
"campbell, p.w.","menzies, c.d."
"campbell, p.w.","wallace, a."
"campbell, p.w.","whitton, a."
"campbell, p.w.","fraser, w.s."
"maitland, t.","duncan, a.r."
"maitland, t.","menzies, c.d."
"maitland, t.","whitton, a."
"duncan, a.r.","menzies, c.d."
"wallace, a.","whitton, a."
"whitton, a.","mackenzie, w."
"mackenzie, w.","torrie, r.j."
"menzies, c.d.","torrie, r.j."
